"export-plots data (NetLogo 5.0.5)"
"Trex_GutCapacity_CarcassDelay_12June14.nlogo"
"06/28/2014 11:51:43:059 +0100"

"MODEL SETTINGS"
"n-carcasses25000","n-trex6000","n-carcasses5000","n-trex4000","n-trex1000","n-carcasses8500","n-albertosaurus","n-trex500","rex_vision","n-trex2000","n-trex10000","n-dromaeosaur","n-carcasses2500","n-carcasses216","n-trex8000","n-trex100","rap_vision","n-carcasses75","n-troodon","n-carcasses700"
"1","0","1","0","0","1","103","1","0.5","0","0","345","1","4","0","0","0.5","10","138","1"

"""Fitness Plot Trex100"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

"""Fitness Plot Trex500"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","231","0","200000","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","200"

"""fitness"""
"x","y","color","pen down?"
"0","0","0","true"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"6","0","0","true"
"7","0","0","true"
"8","0","0","true"
"9","113900","0","true"
"10","0","0","true"
"11","0","0","true"
"12","0","0","true"
"13","0","0","true"
"14","0","0","true"
"15","182000","0","true"
"16","116900","0","true"
"17","182000","0","true"
"18","0","0","true"
"19","182000","0","true"
"20","0","0","true"
"21","182000","0","true"
"22","182000","0","true"
"23","182000","0","true"
"24","182000","0","true"
"25","6700","0","true"
"26","0","0","true"
"27","0","0","true"
"28","182000","0","true"
"29","0","0","true"
"30","182000","0","true"
"31","0","0","true"
"32","0","0","true"
"33","40200","0","true"
"34","182000","0","true"
"35","0","0","true"
"36","81900","0","true"
"37","46900","0","true"
"38","0","0","true"
"39","95900","0","true"
"40","182000","0","true"
"41","0","0","true"
"42","0","0","true"
"43","0","0","true"
"44","0","0","true"
"45","67900","0","true"
"46","0","0","true"
"47","182000","0","true"
"48","0","0","true"
"49","120600","0","true"
"50","0","0","true"
"51","74900","0","true"
"52","0","0","true"
"53","0","0","true"
"54","123900","0","true"
"55","0","0","true"
"56","0","0","true"
"57","0","0","true"
"58","0","0","true"
"59","0","0","true"
"60","0","0","true"
"61","0","0","true"
"62","6700","0","true"
"63","182000","0","true"
"64","178400","0","true"
"65","0","0","true"
"66","0","0","true"
"67","0","0","true"
"68","0","0","true"
"69","26800","0","true"
"70","155900","0","true"
"71","0","0","true"
"72","0","0","true"
"73","0","0","true"
"74","182000","0","true"
"75","0","0","true"
"76","182000","0","true"
"77","182000","0","true"
"78","182000","0","true"
"79","0","0","true"
"80","0","0","true"
"81","182000","0","true"
"82","177500","0","true"
"83","0","0","true"
"84","26800","0","true"
"85","0","0","true"
"86","0","0","true"
"87","81900","0","true"
"88","182000","0","true"
"89","0","0","true"
"90","0","0","true"
"91","0","0","true"
"92","0","0","true"
"93","0","0","true"
"94","0","0","true"
"95","0","0","true"
"96","60300","0","true"
"97","80400","0","true"
"98","0","0","true"
"99","0","0","true"
"100","182000","0","true"
"101","0","0","true"
"102","0","0","true"
"103","182000","0","true"
"104","0","0","true"
"105","0","0","true"
"106","182000","0","true"
"107","0","0","true"
"108","6700","0","true"
"109","0","0","true"
"110","0","0","true"
"111","0","0","true"
"112","0","0","true"
"113","182000","0","true"
"114","182000","0","true"
"115","102900","0","true"
"116","0","0","true"
"117","0","0","true"
"118","182000","0","true"
"119","20100","0","true"
"120","116900","0","true"
"121","33500","0","true"
"122","74900","0","true"
"123","0","0","true"
"124","0","0","true"
"125","182000","0","true"
"126","6700","0","true"
"127","20100","0","true"
"128","134000","0","true"
"129","0","0","true"
"130","182000","0","true"
"131","0","0","true"
"132","0","0","true"
"133","6700","0","true"
"134","0","0","true"
"135","0","0","true"
"136","0","0","true"
"137","20100","0","true"
"138","0","0","true"
"139","182000","0","true"
"140","0","0","true"
"141","0","0","true"
"142","0","0","true"
"143","182000","0","true"
"144","182000","0","true"
"145","0","0","true"
"146","46900","0","true"
"147","0","0","true"
"148","182000","0","true"
"149","0","0","true"
"150","0","0","true"
"151","182000","0","true"
"152","182000","0","true"
"153","0","0","true"
"154","0","0","true"
"155","0","0","true"
"156","0","0","true"
"157","174500","0","true"
"158","0","0","true"
"159","0","0","true"
"160","0","0","true"
"161","0","0","true"
"162","0","0","true"
"163","88900","0","true"
"164","0","0","true"
"165","161700","0","true"
"166","0","0","true"
"167","26800","0","true"
"168","0","0","true"
"169","0","0","true"
"170","0","0","true"
"171","179900","0","true"
"172","0","0","true"
"173","181700","0","true"
"174","182000","0","true"
"175","0","0","true"
"176","13400","0","true"
"177","0","0","true"
"178","0","0","true"
"179","0","0","true"
"180","0","0","true"
"181","113900","0","true"
"182","182000","0","true"
"183","116900","0","true"
"184","182000","0","true"
"185","46900","0","true"
"186","109900","0","true"
"187","155900","0","true"
"188","0","0","true"
"189","0","0","true"
"190","0","0","true"
"191","182000","0","true"
"192","74600","0","true"
"193","67000","0","true"
"194","0","0","true"
"195","0","0","true"
"196","0","0","true"
"197","0","0","true"
"198","0","0","true"
"199","0","0","true"
"200","33500","0","true"

"""Fitness Plot Trex1000"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

"""Fitness Plot Trex2000"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

"""Fitness Plot Trex4000"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

"""Fitness Plot Trex6000"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

"""Fitness Plot Trex8000"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

"""Fitness Plot Trex10000"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10","0","10","true","""fitness""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""fitness""","true","0","1","0","0"

"""fitness"""
"x","y","color","pen down?"

