day,energy,mass
0,0,100
1,0,100
2,0,100
3,0,100
4,0,100
5,0,100
6,0,100
7,0,100
8,0,100
9,20100,100
10,0,100
11,0,100
12,0,100
13,26800,100
14,0,100
15,0,100
16,0,100
17,0,100
18,0,100
19,0,100
20,40200,100
21,1281700,100
22,0,100
23,0,100
24,0,100
25,0,100
26,0,100
27,0,100
28,0,100
29,0,100
30,0,100
31,0,100
32,0,100
33,0,100
34,0,100
35,0,100
36,0,100
37,0,100
38,0,100
39,6700,100
40,0,100
41,0,100
42,0,100
43,0,100
44,0,100
45,0,100
46,0,100
47,0,100
48,0,100
49,508900,100
50,0,100
51,0,100
52,6700,100
53,0,100
54,0,100
55,0,100
56,0,100
57,0,100
58,0,100
59,0,100
60,235900,100
61,0,100
62,508900,100
63,20100,100
64,0,100
65,0,100
66,53600,100
67,0,100
68,0,100
69,0,100
70,0,100
71,0,100
72,0,100
73,80400,100
74,0,100
75,0,100
76,0,100
77,0,100
78,0,100
79,0,100
80,0,100
81,6700,100
82,67000,100
83,0,100
84,0,100
85,26800,100
86,0,100
87,0,100
88,33500,100
89,0,100
90,0,100
91,0,100
92,0,100
93,0,100
94,0,100
95,0,100
96,0,100
97,0,100
98,0,100
99,0,100
100,123900,100
101,1421700,100
102,0,100
103,33500,100
104,80400,100
105,0,100
106,0,100
107,0,100
108,0,100
109,0,100
110,0,100
111,80400,100
112,403900,100
113,0,100
114,0,100
115,0,100
116,0,100
117,227800,100
118,1498700,100
119,0,100
120,0,100
121,0,100
122,20100,100
123,0,100
124,0,100
125,0,100
126,0,100
127,0,100
128,0,100
129,0,100
130,0,100
131,1463700,100
132,20100,100
133,0,100
134,0,100
135,0,100
136,0,100
137,0,100
138,33500,100
139,0,100
140,0,100
141,0,100
142,0,100
143,0,100
144,0,100
145,0,100
146,0,100
147,0,100
148,0,100
149,0,100
150,0,100
151,0,100
152,0,100
153,0,100
154,67300,100
155,0,100
156,0,100
157,0,100
158,0,100
159,0,100
160,0,100
161,0,100
162,0,100
163,0,100
164,0,100
165,0,100
166,0,100
167,480900,100
168,0,100
169,0,100
170,0,100
171,0,100
172,0,100
173,0,100
174,0,100
175,0,100
176,0,100
177,26800,100
178,0,100
179,0,100
180,0,100
181,0,100
182,0,100
183,0,100
184,0,100
185,0,100
186,6700,100
187,0,100
188,0,100
189,0,100
190,0,100
191,0,100
192,0,100
193,0,100
194,0,100
195,515900,100
196,20100,100
197,0,100
198,0,100
199,40200,100
200,0,100
201,0,100
202,0,100
203,60300,100
204,0,100
205,0,100
206,0,100
207,0,100
208,0,100
209,0,100
210,628600,100
211,522900,100
212,0,100
213,0,100
214,0,100
215,26800,100
216,0,100
217,1498700,100
218,0,100
219,0,100
220,67000,100
221,0,100
222,0,100
223,0,100
224,20100,100
225,0,100
226,0,100
227,0,100
228,0,100
229,6700,100
230,0,100
231,1323700,100
232,0,100
233,0,100
234,0,100
235,0,100
236,0,100
237,0,100
